,Rangking,Title,Artist,Date,Source Site,agency
206,7,내 눈물 모아,휘인,5-19,Genie Music,RBW
207,8,Zombie,데이식스,5-19,Genie Music,JYP엔터테인먼트
208,9,좋은 사람 있으면 소개시켜줘,조이,5-19,Genie Music,SM엔터테인먼트
209,10,시작,가호 (Gaho),5-19,Genie Music,인넥스트트렌드
210,11,덤더럼 (Dumhdurum),에이핑크,5-19,Genie Music,플레이엠엔터테인먼트
211,12,Dolphin,오마이걸,5-19,Genie Music,WM엔터테인먼트
212,13,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,5-19,Genie Music,버스커 버스커
213,14,Don't Start Now,Dua Lipa,5-19,Genie Music,무소속
214,15,처음처럼,엠씨더맥스,5-19,Genie Music,325E&C
215,16,Blueming,아이유,5-19,Genie Music,EDAM엔터테인먼트
216,17,아무노래,지코 (ZICO),5-19,Genie Music,KQ엔터테인먼트
217,18,METEOR,창모,5-19,Genie Music,일리네어 레코즈
218,19,Stay Tonight,청하,5-19,Genie Music,MNH엔터테인먼트
219,20,화려하지 않은 고백,규현,5-19,Genie Music,SM엔터테인먼트
220,21,Memories,Maroon 5,5-19,Genie Music,무소속
221,22,우리 만남이,폴킴,5-19,Genie Music,뉴런뮤직
222,23,어떻게 지내 (Prod. by VAN.C),오반,5-19,Genie Music,무소속
223,24,WANNABE,ITZY,5-19,Genie Music,JYP엔터테인먼트
224,25,그대 고운 내사랑,어반자카파,5-19,Genie Music,메이크어스엔터테인먼트
225,26,돌덩이,하현우 (국카스텐),5-19,Genie Music,인터파크 엔터테인먼트
226,27,늦은 밤 너의 집 앞 골목길에서,노을,5-19,Genie Music,씨제스엔터테인먼트
227,28,마음을 드려요,아이유,5-19,Genie Music,EDAM엔터테인먼트
228,29,2002,Anne-Marie,5-19,Genie Music,무소속
229,30,Dance Monkey,Tones And I,5-19,Genie Music,무소속
230,31,Psycho,레드벨벳,5-19,Genie Music,SM엔터테인먼트
231,32,ON,방탄소년단,5-19,Genie Music,빅히트 엔터테인먼트
232,33,"세계가 불타버린 밤, 우린... (Can't You See Me?)",투모로우바이투게더,5-19,Genie Music,빅히트 엔터테인먼트
233,34,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽,5-19,Genie Music,마크툽컴퍼니 (대표)
234,35,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,5-19,Genie Music,뉴런뮤직
235,36,밤이 깊었네 (Drama Ver.),미도와 파라솔,5-19,Genie Music,무소속
236,37,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",악동뮤지션,5-19,Genie Music,YG 엔터테인먼트
237,38,반만,진민호,5-19,Genie Music,무소속
238,39,그때 그 아인,김필,5-19,Genie Music,"스톤뮤직엔터테인먼트, MMO 엔터테인먼트"
239,40,Maniac,Conan Gray,5-19,Genie Music,무소속
240,41,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,5-19,Genie Music,빅히트 엔터테인먼트
241,42,안녕,폴킴,5-19,Genie Music,뉴런뮤직
242,43,HIP,마마무,5-19,Genie Music,RBW
243,44,봄 같던 그녀가 춥대 (Feat. 페노메코),MC몽 & 김재환,5-19,Genie Music,밀리언마켓
244,45,나쁜 놈,벤,5-19,Genie Music,메이저9
245,46,Love poem,아이유,5-19,Genie Music,EDAM엔터테인먼트
246,47,빈칸을 채워주시오,볼빨간사춘기,5-19,Genie Music,쇼파르뮤직
247,48,문득,노을,5-19,Genie Music,씨제스엔터테인먼트
248,49,bad guy,Billie Eilish,5-19,Genie Music,인터스코프 레코드
